id,name
772,Michael Jai White
773,Jim Parsons
774,Maggie Smith
775,Peter Falk
776,Addison Timlin
777,Phillip Glasser
778,Meryl Streep
779,Morgan Freeman
780,Robert Gustafsson
781,Jan-Michael Vincent
782,Klaus Kinski
783,Sophie Thompson
784,Dorothy McGuire
785,Tom Tyler
786,John Cleese
787,Mads Mikkelsen
788,John Robinson (IX)
789,Richard E. Grant
790,Ryan Francis
791,Art Parkinson
792,Dougray Scott
793,Cyril Raffaelli
794,Frederic Forrest
795,Timothy Hutton
796,Mark Wahlberg
797,Nikolaj Coster-Waldau
798,Charles Laughton
799,Mohammad Amir Naji
800,Storm Reid
801,Isabelle Corey
802,Brie Larson
803,Tobin Bell
804,Jean Reno
805,David Morse
806,Marwan Kenzari
807,Barbara Sloane
808,Sophie Marceau
809,Vincent Price
810,Wallace Beery
811,Todd Haberkorn
812,James Remar
813,Channing Pollock
814,Hugh Grant
815,Corey Haim
816,Steve Carell
817,Shah Rukh Khan
818,Candice Bergen
819,Dakota Blue Richards
820,Joe Cole
821,Justin Long
822,Jo Shishido
823,Max von Sydow
824,Richard Jordan
825,Yi Zhang
826,Koji Yakusho
827,Miyavi
828,Marion Cotillard
829,Logan Lerman
830,Masanobu Ando
831,James Brolin
832,Bill Pullman
833,Emilia Clarke
834,Olivia Thirlby
835,Francis Ng
836,Beanie Sigel
837,Gena Rowlands
838,Joaquin Phoenix
839,James Whitmore
840,Ona Munson
841,Kodi Smit-McPhee
842,John Clive
843,Ricci Harnett
844,Mathias Malzieu
845,Analeigh Tipton
846,Ed Speleers
847,Jack Black
848,Henry Cavill
849,Piolo Pascual
850,Martijn Lakemeier
851,Shannon Lucio
852,Alexander Kaidanovsky
853,Julia Voth
854,Carl Weathers
855,Adam Deacon Bashy
856,Kirsten Dunst
857,Jason David Frank
858,Zac Kilberg
859,Jerry Ito
860,Chlo Grace Moretz
861,John Malkovich
862,Natar Ungalaaq
863,Jason James Richter
864,Ben Burtt
865,Hunter Allan
866,Colm Feore
867,Casey Affleck
868,Sam Elliott
869,Essence Atkins
870,Bruce Vilamch
871,Sam Neill
872,Steven Ogg
873,Olga Kurylenko
874,Suraj Sharma
875,Bruce Lee
876,Gary Kemp
877,Julia Brendler
878,Cinda Adams
879,Donald Sutherland
880,Bryan Brown
881,Ben Oxenbould
882,Peter Dinklage
883,Natalie Portman
884,William Phipps
885,Cliff Robertson
886,Olympia Dukakis
887,Jean Texier
888,April Pearson
889,Dani Rovira
890,Alexander Ludwig
891,Zhang Guoli
892,Jay Hernandez
893,Peter Larson
894,Ice-T
895,Billy Zane
896,Noah Ringer
897,Penelope Ann Miller
898,Powers Boothe
899,Ronn Moss
900,Carlos Gallardo
901,Kyle Gallner
902,Patrick Wayne
903,Seann William Scott
904,Lysette Anthony
905,Jay Baruchel
906,Scott Glenn
907,Seth Green
908,Mae Whitman
909,Tom Sizemore
910,Kenneth Cranham
911,Ben Kingsley
912,Orlando Bloom
913,Alicia Vikander
914,Bryan Cranston
915,Matt Lanter
916,Yasuo Yamada
917,Georgia Engel
918,Kristin Wallace
919,Anne Parillaud
920,Christian Kane
921,Cuba Gooding Jr.
922,Jon Foster
923,Freddie Bartholomew
924,Bob Hoskins
925,Mark Webber
926,Matthew Le Nevez
927,Sullivan Stapleton
928,Alex Rocco
929,Anthony Edwards
930,Mick Jagger
931,Jake T. Austin
932,Ashley Judd
933,Adam Goldberg
934,Jordan Matthews
935,Devon Sawa
936,Leslie Howard
937,Tom Holland (II)
938,Kim Richards
939,Aidan Quinn
940,Benjamin Walker
941,Chris Klein
942,Sabriye Tenberken
943,Helen Mirren
944,Bradley Cooper
945,Ok-bin Kim
946,Mary Liuzzo
947,Lucy Liu
948,Naomi Watts
949,Jonathan Cherry
950,Zsa Zsa Gabor
951,Dennis Hopper
952,Paul Campbell VIII
953,Laura Regan
954,Fionn Whitehead
955,JeeJa Yanin
956,Shirley Temple
957,Bingbing Fan
958,Anna Kendrick
959,Kellan Lutz
960,Andre Gower
961,John Jarratt
962,Adam Sandler
963,Nicholas Gonzalez
964,Heather Kafka
965,Mlanie Thierry
966,Joey Cramer
967,Hiroyuki Sanada
968,Stana Katic
969,Auli'i Cravalho
970,Frank Lammers
971,Seon-gyun Lee
972,Vincent Cassel
973,Judy Marte
974,Gregory Hines
975,William Smith
976,Eddie Peng
977,Kiichi Nakai
978,Lee Marvin
979,Victor Wong
980,Drake Bell
981,Gene Evans
982,Bill Farmer
983,Denise Richards
984,Wil Wheaton
985,Richie Ren
986,Luke Goss
987,Diane Lane
988,Zoey Deutch
989,Jean-Paul Belmondo
990,Sren Pilmark
991,James Coburn
992,Benno Frmann
993,Jerry O'Connell
994,Roy Scheider
995,Benjamin Bratt
996,Luisa Williams
997,Nadia Bjorlin
998,Geoffrey McMullan
999,Vernon Beach
1000,Michael Palin
1001,Lanah Pellay
1002,Kim Coates
1003,Robert Taylor
1004,Richard Roxburgh
1005,Errol Flynn
1006,Pat Hingle
1007,Cillian Murphy
1008,Henry Thomas
1009,Michael Madsen
1010,Graham Chapman
1011,Gary Busey
1012,Tanner Cohen
1013,Steve Austin
1014,Steven Pasquale
1015,Tomisaburo  Wakayama
1016,Kristoffer Joner
1017,Justin Chatwin
1018,Hayden Christensen
1019,Clara Bow
1020,Ian Ziering
1021,Keith Carradine
1022,Anthony Quinn
1023,Ryohei Suzuki
1024,Brooke Shields
1025,David Duchovny
1026,Mike Myers
1027,Nathan Fillion
1028,Stephen Garlick
1029,Genevieve Bachman
1030,Selena Gomez
1031,David Hartman
1032,Kelli Maroney
1033,Charles Grodin
1034,Noomi Rapace
1035,Melina Mercouri
1036,Gilles Lellouche
1037,Lily Collins
1038,Tura Santana
1039,Ava Gardner
1040,Stanley Weber
1041,Brittany Snow
1042,Van Johnson
1043,Ha Jung-woo
1044,Paul Schneider
1045,Philip Kwok
1046,Boris Karloff
1047,Peter Frampton
1048,Jack Martin (XXVIII)
1049,Sean Astin
1050,Lea Thompson
1051,Cynthia Rothrock
1052,John Krasinski
1053,Stuart Allen
1054,Rupert Everett
1055,Ashley Olsen
1056,Masahiro Matsuoka
1057,Carter Jenkins
1058,Glenn Erland Trosterud
1059,Chace Crawford
1060,Goldie Hawn
1061,Bill Travers
1062,Jonathan Brandis
1063,Yoo Gong
1064,Tom Cullen
1065,Jonah Bobo
1066,Bingbing Li
1067,Haruma Miura
1068,Eddie Redmayne
1069,James Woods
1070,Beyonc Knowles
1071,Vic Mignogna
1072,Johan Liberau
1073,Heath Ledger
1074,Gail Neely
1075,Ricardo Darn
1076,Patrick Wilson
1077,Tatsuya Nakadai
1078,Kevin James
1079,Ian Somerhalder
1080,Martin Balsam
1081,Ky-Mani Marley
1082,Jason Gedrick
1083,Robert Hays
1084,Steve Burton
1085,John Cho
1086,Michael Keaton
1087,Gary Oldman
1088,Benedict Cumberbatch
1089,Tim Robbins
1090,Keegan-Michael Key
1091,Asanee Suwan
1092,Peter Breck
1093,Toni Collette
1094,Kim Yun-seok
1095,Gary Sinise
1096,Noriyuki 'Pat' Morita
1097,Josh Hutcherson
1098,Jon Favreau
1099,Sam Rockwell
1100,Rob Lowe
1101,Nick Damici
1102,Terence Stamp
1103,Shane West
1104,Julia Dietze
1105,Trevor Jackson
1106,Martin Short
1107,Alexander Skarsgrd
1108,Ming-Na Wen
1109,Billy Crudup
1110,Warren Oates
1111,Baihe Bai
1112,Kyle MacLachlan
1113,Frdric Andri
1114,Perry King
1115,Neil Patrick Harris
1116,Louis Koo
1117,David Oyelowo
1118,Robert Ginty
1119,Fan Liao
1120,Angela Bassett
1121,Tetsuya Watari
1122,Andy Garcia
1123,Dane DeHaan
1124,Rosie Day
1125,Duobuji
1126,Richard Boone
1127,Zoie Palmer
1128,Justin Whalin
1129,Dave Bautista
1130,Susan Pollatschek
1131,Han Seok-Kyu
1132,Dylan Walsh
1133,Christopher Meloni
1134,Ahn Song-Gi
1135,Jennifer Jason Leigh
1136,Sienna Guillory
1137,Aaron Paul
1138,Sammo Hung Kam-Bo
1139,William Katt
1140,Debbie Reynolds
1141,Keenen Ivory Wayans
1142,Michael Cera
1143,Vanilla Ice
1144,Christopher Collet
1145,Peter Wingfield
1146,Carolyn Beauchamp
1147,Karra Elejalde
1148,Michael Sarrazin
1149,Matthew Marsden
1150,Leroy Wallace
1151,Barbara Hershey
1152,Melissa McCarthy
1153,Robbie Coltrane
1154,Alexander Nevsky
1155,Danny Huston
1156,Bing Crosby
1157,Steve Irwin
1158,Joan Crawford
1159,Marcel Iures
1160,Luke Evans
1161,Judith Hoag
1162,Danielle Panabaker
1163,Gregory Smith
1164,Nathan Harris
1165,Irene Bedard
1166,Mark Chao
1167,Mariangela Melato
1168,Michael Sinterniklaas
1169,Tahar Rahim
1170,Bruce Dern
1171,Anton Pardoe
1172,Fredric March
1173,Chase Williamson
1174,Harriet Owen
1175,Rick Giovinazzo
1176,Toby Kebbell
1177,Nicolas Rowe
1178,Jordana Brewster
1179,Britney Spears
1180,Patrick Huard
1181,Martin Henderson
1182,Daisy Ridley
1183,David Argue
1184,Alexis Dubin
1185,Doug McClure
1186,Billy Crystal
1187,Karin Hayduova
1188,Richard Coyle
1189,William Feng (VI)
1190,Logan Marshall-Green
1191,Catherine Chan
1192,Gabrielle Anwar
1193,Steve Oedekerk
1194,Taurean Blacque
1195,Carla Wilkins
1196,Dax Shepard
1197,Lalita Panyopas
1198,Bill Milner
1199,Gemma Arterton
1200,Frank Sinatra
1201,Y.K. Kim
1202,Lothaire Bluteau
1203,David Caruso
1204,Sami Bouajila
1205,Takehiro Murata
1206,Nick Cannon
1207,Stewart Granger
1208,Petr Fedorov
1209,Aaron Taylor-Johnson
1210,Kirk Cameron
1211,Jackson Martin
1212,Christopher Gorham
1213,Tabitha St. Germain
1214,Maren Jensen
1215,Richard Basehart
1216,Jennifer Garner
1217,Mandy Moore
1218,Brandon Walter
1219,Emily Booth
1220,John Abraham
1221,Jane Russell
1222,Aki Maeda
1223,Garrett Hedlund
1224,Seth Rogen
1225,Ellen Barkin
1226,Caleb Steinmeyer
1227,Kane Hodder
1228,Devon Werkheiser
1229,Ching Wan Lau
1230,Dan Fogler
1231,Kazunari Ninomiya
1232,Brandon Routh
1233,Ansel Elgort
1234,Shawn Ashmore
1235,Eva Marcille
1236,Bin Won
1237,Doo-hong Jung
1238,Edward Norton
1239,Larry The Cable Guy
1240,Shauna Macdonald
1241,Michael Beck
1242,Genevive Bujold
1243,Tyrin Turner
1244,Christa Theret
1245,Orlando Jones
1246,Tamara Dobson
1247,Manu Bennett
1248,Bo Derek
1249,Takuya Kimura
1250,Johnny Weissmuller
1251,Daveigh Chase
1252,Diana Ross
1253,Taimak
1254,Benny Mendoza
1255,Jennifer Tilly
1256,Ryan Gosling
1257,Edward Judd
1258,Ted Danson
1259,Ross Clarke-Jones
1260,Matthew Sunderland
1261,Tamer Hassan
1262,Oscar Isaac
1263,Ralph Macchio
1264,Patrick Bergin
1265,Jeremy Piven
1266,Vincent Gallo
1267,June Diane Raphael
1268,Jimmy Bennett
1269,Dana Snyder
1270,Gil Bellows
1271,Tanya Roberts
1272,Nam-gil Kim
1273,Fairuza Balk
1274,Paz Vega
1275,Maksim Munzuk
1276,Jane Fonda
1277,Joseph Kaufmann
1278,Susan Sarandon
1279,Michael Sheen
1280,Emily Blunt
1281,Gabriel Macht
1282,Pauly Shore
1283,Hayato Ichihara
1284,Fred Ward
